Entropy,AMBE,PSNR,Contrast,Image
7.273256486377938,0.50276184,27.249748,55.823825446512664,KA.AN2.40.tiff
7.488400812130745,0.45503235,27.644531,57.10270466041911,KL.AN2.168.tiff
7.346483267702724,0.7280731,25.673979,72.25187349777255,KM.AN1.17.tiff
7.35754038810793,0.6766052,25.972834,72.13121780552345,KM.AN2.18.tiff
7.480711892141434,0.2084961,31.272572,51.22120275835423,KR.AN3.85.tiff
7.3710439197495905,2.5621643,20.27234,78.76164756120976,YM.AN3.63.tiff
7.162667323808505,0.56251526,26.637955,52.69662963281442,KA.DI2.43.tiff
7.4111046687293864,0.42051697,28.00622,56.00037822085812,KL.DI1.170.tiff
7.415205337869446,0.43190002,27.940065,56.64478810764758,KL.DI3.172.tiff
7.492170126694878,0.20588684,31.296528,51.86918832439413,KR.DI2.87.tiff
7.493490805579188,0.20202637,31.390276,51.37406741102122,KR.DI3.88.tiff
7.195791856164195,0.8695679,25.02352,76.80751409441143,YM.DI1.64.tiff
7.295479518925598,1.9432068,21.332233,52.29547702723644,KA.FE1.45.tiff
7.298737386535812,1.4811554,22.570831,50.994595018327836,KA.FE4.48.tiff
7.429584725604485,0.4499359,27.731773,57.73619007415982,KL.FE2.175.tiff
7.492430796640496,0.1487732,32.8435,51.91485069648806,KR.FE1.89.tiff
7.405375639091691,0.73265076,25.744453,55.967551468872614,MK.FE1.131.tiff
7.3357761032301925,1.3432007,22.962675,56.7736519967394,UY.FE3.154.tiff
7.160579636545597,0.6206665,26.343132,56.70355870420643,YM.FE3.69.tiff
7.280612877384188,0.67419434,26.012152,55.55544239055864,KA.HA3.31.tiff
7.3879775648006305,0.41007996,28.298018,55.283616816520635,MK.HA2.117.tiff
7.364258908870915,0.71588135,25.661114,51.70432641551933,NA.HA2.203.tiff
7.4476593731139875,0.4453125,28.01289,56.1003188479129,NM.HA2.96.tiff
7.48193147218012,0.5079956,27.266676,58.188301053674216,NM.HA3.97.tiff
7.204088805783175,0.38336182,28.291185,60.78230225320283,TM.HA1.180.tiff
7.134259780747941,0.9608154,24.550879,70.60647735936202,YM.HA1.52.tiff
7.347014466754653,0.5455475,27.009838,60.323110884351514,KA.NE1.26.tiff
7.357349638667744,0.52101135,27.238503,73.3100614802702,KM.NE1.1.tiff
7.349971652299853,0.49467468,27.433245,73.1245382168658,KM.NE3.3.tiff
7.428009322875442,0.5480499,26.980251,57.46534191914252,MK.NE1.113.tiff
7.366870586762161,1.2754517,23.201294,51.77086352870931,NA.NE1.199.tiff
7.205564270839122,1.6703186,22.035437,61.889122977480255,YM.NE2.50.tiff
7.378855763009692,2.1530304,20.960999,70.70567754897361,KM.SA3.11.tiff
7.45429143872589,0.11817932,33.723064,49.915023774502814,KR.SA2.78.tiff
7.435466451380629,0.122299194,33.750114,49.66530231940233,KR.SA3.79.tiff
7.4335260381037145,2.2332306,20.840723,55.38335851145997,MK.SA2.120.tiff
7.286782262274947,2.4463043,20.351955,64.46896140210761,TM.SA1.184.tiff
7.180284190406047,0.36038208,28.655893,64.76738077515105,TM.SA3.186.tiff
7.25005649784563,0.7133484,25.87385,80.79560051981555,YM.SA3.57.tiff
7.427048674759169,0.47727966,27.502674,54.821611283920646,KL.SU3.166.tiff
7.473520553960246,0.13639832,33.402435,51.852665574707835,KR.SU3.82.tiff
7.353543206892559,0.81085205,25.231316,54.601067795954215,MK.SU2.123.tiff
7.307615475940841,0.4557953,27.744812,55.10900981498408,MK.SU3.124.tiff
7.386246592581952,0.60565186,26.406286,55.60375788707265,UY.SU1.143.tiff
7.297497479339152,1.4649811,22.674677,76.39056513639171,YM.SU2.59.tiff
